n,e,d
15.32,5.06,942
15.32,5.06,943
15.32,5.06,944
15.32,5.06,945
15.32,5.06,946
15.32,5.06,947
15.32,5.06,948
15.32,5.06,949
15.32,5.06,950
15.32,5.06,951
15.32,5.06,952
15.32,5.06,953
15.32,5.06,954
15.32,5.06,955
15.32,5.06,956
15.32,5.06,957
15.32,5.06,958
15.32,5.06,959
15.32,5.06,960
15.32,5.06,961
15.32,5.06,962
15.32,5.06,963
15.32,5.06,964
15.32,5.06,965
15.32,5.06,966
15.32,5.06,967
15.32,5.06,968
15.32,5.06,969
15.32,5.06,970
15.32,5.06,971
15.32,5.06,972
15.32,5.06,973
15.32,5.06,974
15.32,5.06,975
15.32,5.06,976
15.32,5.06,977
15.32,5.06,978
15.32,5.06,979
15.32,5.06,980
15.32,5.06,981
15.32,5.06,982
15.32,5.06,983
15.32,5.06,984
15.32,5.06,985
15.32,5.06,986
15.32,5.06,987
15.32,5.06,988
15.32,5.06,989
15.32,5.06,990
15.32,5.06,991
15.32,5.06,992
15.32,5.06,993
15.32,5.06,994
15.32,5.06,995
15.32,5.06,996
15.32,5.06,997
15.32,5.06,998
15.32,5.06,999
15.32,5.06,1000
15.32,5.06,1001
15.32,5.06,1002
15.32,5.06,1003
15.32,5.06,1004
15.32,5.06,1005
15.32,5.06,1006
15.32,5.06,1007
15.32,5.06,1008
15.32,5.06,1009
15.32,5.06,1010
15.32,5.06,1011
15.32,5.06,1012
15.32,5.06,1013
15.32,5.06,1014
15.32,5.06,1015
15.32,5.06,1016
15.32,5.06,1017
15.32,5.06,1018
15.32,5.06,1019
15.32,5.06,1020
15.32,5.06,1021
15.32,5.06,1022
15.32,5.06,1023
15.32,5.06,1024
15.32,5.06,1025
15.32,5.06,1026
15.32,5.06,1027
15.32,5.06,1028
15.32,5.06,1029
15.32,5.06,1030
15.32,5.06,1031
15.32,5.06,1032
15.32,5.06,1033
15.32,5.06,1034
15.32,5.06,1035
15.32,5.06,1036
15.32,5.06,1037
15.32,5.06,1038
15.32,5.06,1039
15.32,5.06,1040
15.32,5.06,1041
15.32,5.06,1042
15.32,5.06,1043
15.32,5.06,1044
15.32,5.06,1045
15.32,5.06,1046
15.32,5.06,1047
15.32,5.06,1048
15.32,5.06,1049
15.32,5.06,1050
15.32,5.06,1051
15.32,5.06,1052
15.32,5.06,1053
15.32,5.06,1054
15.32,5.06,1055
15.32,5.06,1056
15.32,5.06,1057
15.32,5.06,1058
15.32,5.06,1059
15.32,5.06,1060
15.32,5.06,1061
15.32,5.06,1062
15.32,5.06,1063
15.32,5.06,1064
15.32,5.06,1065
15.32,5.06,1066
15.32,5.06,1067
15.32,5.06,1068
15.32,5.06,1069
15.32,5.06,1070
15.32,5.06,1071
15.32,5.06,1072
15.32,5.06,1073
15.32,5.06,1074
15.32,5.06,1075
15.32,5.06,1076
15.32,5.06,1077
15.32,5.06,1078
15.32,5.06,1079
15.32,5.06,1080
15.32,5.06,1081
15.32,5.06,1082
15.32,5.06,1083
15.32,5.06,1084
15.32,5.06,1085
15.32,5.06,1086
15.32,5.06,1087
15.32,5.06,1088
15.32,5.06,1089
15.32,5.06,1090
15.32,5.06,1091
15.32,5.06,1092
15.32,5.06,1093
15.32,5.06,1094
15.32,5.06,1095
15.32,5.06,1096
15.32,5.06,1097
15.32,5.06,1098
15.32,5.06,1099
15.32,5.06,1100
15.32,5.06,1101
15.32,5.06,1102
15.32,5.06,1103
15.32,5.06,1104
15.32,5.06,1105
15.32,5.06,1106
15.32,5.06,1107
15.32,5.06,1108
15.32,5.06,1109
15.32,5.06,1110
15.32,5.06,1111
15.32,5.06,1112
15.32,5.06,1113
15.32,5.06,1114
15.32,5.06,1115
15.32,5.06,1116
15.32,5.06,1117
15.32,5.06,1118
15.32,5.06,1119
15.32,5.06,1120
15.32,5.06,1121
15.32,5.06,1122
15.32,5.06,1123
15.32,5.06,1124
15.32,5.06,1125
15.32,5.06,1126
15.32,5.06,1127
15.32,5.06,1128
15.32,5.06,1129
15.32,5.06,1130
15.32,5.06,1131
15.32,5.06,1132
15.32,5.06,1133
15.32,5.06,1134
15.32,5.06,1135
15.32,5.06,1136
15.32,5.06,1137
15.32,5.06,1138
15.32,5.06,1139
15.32,5.06,1140
15.32,5.06,1141
15.32,5.06,1142
15.32,5.06,1143
15.32,5.06,1144
15.32,5.06,1145
15.32,5.06,1146
15.32,5.06,1147
15.32,5.06,1148
15.32,5.06,1149
15.32,5.06,1150
15.32,5.06,1151
15.32,5.06,1152
15.32,5.06,1153
15.32,5.06,1154
15.32,5.06,1155
15.32,5.06,1156
15.32,5.06,1157
15.32,5.06,1158
15.32,5.06,1159
15.32,5.06,1160
15.32,5.06,1161
15.32,5.06,1162
15.32,5.06,1163
15.32,5.06,1164
15.32,5.06,1165
15.32,5.06,1166
15.32,5.06,1167
15.32,5.06,1168
15.32,5.06,1169
15.32,5.06,1170
15.32,5.06,1171
15.32,5.06,1172
15.32,5.06,1173
15.32,5.06,1174
15.32,5.06,1175
15.32,5.06,1176
15.32,5.06,1177
15.32,5.06,1178
15.32,5.06,1179
15.32,5.06,1180
15.32,5.06,1181
15.32,5.06,1182
15.32,5.06,1183
15.32,5.06,1184
15.32,5.06,1185
15.32,5.06,1186
15.32,5.06,1187
15.32,5.06,1188
15.32,5.06,1189
